                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.18243,                      1,                      1,                0.32379,              0.0033296,              0.0033296,              0.0033296
                      2,                0.07522,                0.99507,                      1,                0.32369,               0.006597,               0.006597,               0.006597
                      3,                0.09281,                0.99261,                      1,                0.32736,              0.0097983,              0.0097983,              0.0097983
                      4,                0.09729,                0.97783,                      1,                0.33713,               0.009703,               0.009703,               0.009703
                      5,                0.06178,                0.99507,                      1,                0.31844,               0.009703,               0.009703,               0.009703
                      6,                0.04435,                0.98768,                      1,                0.32718,               0.009604,               0.009604,               0.009604
                      7,                0.03824,                0.98276,                      1,                0.33233,               0.009505,               0.009505,               0.009505
                      8,                0.03025,                 0.9803,                      1,                0.33199,               0.009406,               0.009406,               0.009406
                      9,                0.03538,                0.98768,                      1,                0.32614,               0.009307,               0.009307,               0.009307
                     10,                0.02823,                      1,                      1,                0.31639,               0.009208,               0.009208,               0.009208
                     11,                0.02357,                0.97044,                      1,                0.34289,               0.009109,               0.009109,               0.009109
                     12,                0.02973,                0.99754,                      1,                0.31818,                0.00901,                0.00901,                0.00901
                     13,                0.02393,                0.99754,                      1,                0.31585,               0.008911,               0.008911,               0.008911
                     14,                0.02142,                0.98768,                      1,                0.32879,               0.008812,               0.008812,               0.008812
                     15,                0.02256,                0.99261,                      1,                0.31857,               0.008713,               0.008713,               0.008713
                     16,                0.02284,                      1,                      1,                0.31579,               0.008614,               0.008614,               0.008614
                     17,                0.01986,                0.99507,                      1,                0.31652,               0.008515,               0.008515,               0.008515
                     18,                0.02172,                      1,                      1,                0.31475,               0.008416,               0.008416,               0.008416
                     19,                0.02361,                      1,                      1,                0.31422,               0.008317,               0.008317,               0.008317
                     20,                0.01823,                0.99015,                      1,                0.32263,               0.008218,               0.008218,               0.008218
                     21,                0.01445,                0.99015,                      1,                0.32752,               0.008119,               0.008119,               0.008119
                     22,                0.01731,                0.99015,                      1,                0.32219,                0.00802,                0.00802,                0.00802
                     23,                0.01865,                0.99261,                      1,                0.31867,               0.007921,               0.007921,               0.007921
                     24,                0.01755,                0.99754,                      1,                0.31676,               0.007822,               0.007822,               0.007822
                     25,                0.01628,                0.99507,                      1,                0.31754,               0.007723,               0.007723,               0.007723
                     26,                0.01601,                0.99754,                      1,                0.31542,               0.007624,               0.007624,               0.007624
                     27,                0.01525,                0.99507,                      1,                0.31825,               0.007525,               0.007525,               0.007525
                     28,                0.01396,                0.99261,                      1,                0.32015,               0.007426,               0.007426,               0.007426
                     29,                0.01417,                0.99507,                      1,                0.31922,               0.007327,               0.007327,               0.007327
